id,name,rating,hours,year,desc_preview
9N2J0FGV30DX,UnknownID_9N2J0FGV30DX,98.0,,,Опис недоступний / No description.
9NC2HVPRQQ9F,UnknownID_9NC2HVPRQQ9F,0.0,,,Опис недоступний / No description.
9NLZZ74TFD7P,Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,76.0,,,"🎮 Microsoft StoreThe Cross Gen Bundle of Call of Duty®: Modern Warfare® III includes the Xbox One and Xbox Series X|S versions of the game.

ADAPT OR DIE IN A FIGHT AGAINST THE ULTIMATE THREAT

In the"
9NXP44L49SHJ,UnknownID_9NXP44L49SHJ,94.0,,,Опис недоступний / No description.
9PMXPQ307Z5P,UnknownID_9PMXPQ307Z5P,100.0,,,Опис недоступний / No description.
C2484ZR2BWNQ,MASSIVE CHALICE,0.0,,2015,"🎮 Microsoft StoreMASSIVE CHALICE is a tactical strategy game set on an epic timeline from Double Fine Productions. As the Immortal Ruler of the Nation, you'll take command of its heroes, forge marriag"
9NRPWTTJHNBC,UnknownID_9NRPWTTJHNBC,0.0,,,Опис недоступний / No description.
9NRH78B682L8,UnknownID_9NRH78B682L8,76.0,,,Опис недоступний / No description.
9NVR4ZQKNBSB,UnknownID_9NVR4ZQKNBSB,94.0,,,Опис недоступний / No description.
BRG51C5MWFSG,BLiNX: The Time Sweeper,100.0,8.03,2002,"🎮 Microsoft StoreBlinx: The Time Sweeper is a fast-paced action game featuring a cool, clever new character in wild, warped worlds. The ability to control the flow of time provides a totally new 4-dim"
9MTP0GJ0Q3MG,UnknownID_9MTP0GJ0Q3MG,0.0,,,Опис недоступний / No description.
9MVN3C4CPDT5,UnknownID_9MVN3C4CPDT5,90.0,,,Опис недоступний / No description.
9NKBNRKJ9FXS,UnknownID_9NKBNRKJ9FXS,0.0,,,Опис недоступний / No description.
9P822XLW9PB8,UnknownID_9P822XLW9PB8,76.0,,,Опис недоступний / No description.
9P0T51BDDWVT,UnknownID_9P0T51BDDWVT,64.0,,,Опис недоступний / No description.
9PJPZK79N5VG,UnknownID_9PJPZK79N5VG,0.0,,,Опис недоступний / No description.
9NM395CH685J,UnknownID_9NM395CH685J,100.0,,,Опис недоступний / No description.
9PLG24BMTP3T,UnknownID_9PLG24BMTP3T,92.0,,,Опис недоступний / No description.
C48LBRJJCP2L,Mirror's Edge™ Catalyst,100.0,8.41,2016,"🎮 Microsoft StoreONLINE FEATURES FOR THIS TITLE HAVE BEEN DISCONTINUED. 

Follow Faith, a daring free runner, as she fights for freedom in the city of Glass. What appears to be an elegant, high-tech c"
9P97ZTRTH25W,UnknownID_9P97ZTRTH25W,70.0,,,Опис недоступний / No description.
